id,playerId,characterId,masteryPoints,wins,losses
487,44,10,40,1,3
621,130,6,0,0,1
639,143,7,0,0,1
691,149,2,348,24,20
713,30,2,80,2,4
576,69,3,40,1,0
577,114,16,40,1,0
622,131,7,0,0,1
623,132,18,0,0,1
574,122,7,80,2,3
653,145,7,180,21,23
582,91,9,0,0,1
678,151,10,100,3,4
624,133,3,0,0,1
578,124,10,180,5,3
625,133,4,40,1,0
710,146,6,100,8,7
585,47,10,20,1,0
587,124,14,0,0,1
626,133,10,0,0,1
589,125,2,40,1,0
590,125,11,0,0,1
591,125,7,0,0,1
716,157,1,0,0,3
677,151,11,40,1,0
714,149,17,280,18,16
595,119,16,0,0,1
596,119,14,20,1,0
592,120,12,20,1,1
597,125,16,0,0,1
588,125,12,80,2,1
598,125,10,0,0,1
627,134,5,0,0,1
583,74,17,-70,5,15
671,145,8,370,38,29
628,135,1,0,0,1
629,137,18,0,0,1
651,145,11,390,31,18
702,154,11,0,0,1
648,113,3,-10,9,19
602,126,2,40,1,0
603,126,12,40,1,0
604,126,16,0,0,1
601,99,16,-30,0,2
709,109,15,-32,1,6
579,114,1,80,2,4
630,86,6,0,0,1
693,113,7,110,16,15
606,109,6,178,9,12
613,44,18,265,9,13
607,110,6,40,1,0
646,86,3,0,0,1
699,152,12,120,3,5
609,110,10,40,1,1
674,150,10,0,0,1
641,114,18,0,0,3
644,114,3,40,1,1
632,60,18,20,1,0
637,114,10,40,1,2
638,114,2,0,0,2
605,109,7,140,9,9
600,18,15,5,8,14
649,144,2,40,1,0
657,146,9,70,8,5
683,153,2,0,0,1
635,141,12,0,0,1
682,146,8,125,28,22
618,91,15,-10,0,1
617,6,18,-10,0,2
593,119,7,20,1,1
684,153,11,0,0,1
620,120,18,40,1,1
619,119,18,20,1,1
715,18,17,128,9,10
660,145,10,105,19,21
669,145,15,155,20,17
612,1,18,755,63,28
673,145,16,165,22,22
599,61,9,595,38,27
687,144,3,40,1,0
676,145,2,430,36,24
697,146,14,-35,5,6
655,145,4,115,25,30
662,145,1,50,30,38
700,144,7,0,0,2
680,151,18,0,0,2
661,145,17,885,78,44
636,65,14,110,5,5
668,86,7,0,0,1
696,71,5,38,2,4
667,86,12,40,1,1
704,155,18,0,0,1
712,149,3,20,1,0
689,144,6,0,0,1
650,144,12,40,1,1
580,29,17,1021,114,51
633,21,18,605,26,25
665,145,9,439,62,71
614,109,18,80,8,9
654,146,3,60,2,1
