id,threadId,ladderResetId,winnerId,winnerCharacterId,loserId,loserCharacterId,ranked,finishedAt
388,,1,18,8,29,4,,1744086620321
389,,1,18,1,29,4,,1744086981791
390,,1,2,7,16,1,,1744087076937
391,,1,29,4,18,5,,1744087303577
392,,1,2,7,16,1,,1744087494173
393,,1,29,4,18,3,,1744087899811
394,,1,18,7,29,4,,1744088258961
395,,1,16,1,2,7,,1744088563296
396,,1,18,7,29,4,,1744088579445
397,,1,16,6,2,7,,1744088812946
398,,1,16,6,2,7,,1744089400819
399,,1,2,1,16,6,,1744089935230
400,,1,16,6,2,9,,1744090760004
401,,1,20,6,8,9,,1744091559335
402,,1,16,9,2,2,,1744091837096
403,,1,2,8,16,9,,1744092347918
404,,1,2,1,16,8,,1744092871358
405,,1,2,8,16,3,,1744093431475
406,,1,22,4,17,4,,1744096823021
407,,1,17,6,22,4,,1744097298208
408,,1,17,4,22,6,,1744097985768
409,,1,17,6,22,4,,1744098447691
410,,1,22,6,17,10,,1744099438889
411,,1,8,4,22,4,,1744099854004
412,,1,19,1,5,5,,1744099985797
413,,1,5,7,19,4,,1744100502706
414,,1,8,9,2,3,,1744100705579
415,,1,8,6,2,5,,1744101126716
416,,1,5,7,19,10,,1744101298395
417,,1,2,5,8,6,,1744101730083
418,,1,17,1,22,4,,1744101803706
419,,1,5,8,19,10,,1744102413355
420,,1,8,6,2,5,,1744102419489
421,,1,29,4,11,5,,1744102856826
422,,1,5,8,19,6,,1744102978681
423,,1,2,2,8,9,,1744103036895
424,,1,11,6,29,4,,1744103431335
425,,1,2,6,8,6,,1744103493010
426,,1,17,2,30,5,,1744103700081
427,,1,29,4,11,5,,1744103804505
428,,1,29,4,11,5,,1744104178366
429,,1,29,4,11,5,,1744104565517
430,,1,19,1,5,8,,1744105242549
431,,1,12,2,29,4,,1744105563734
432,,1,12,6,29,4,,1744105937079
433,,1,12,2,29,4,,1744106340832
434,,1,22,4,29,4,,1744107141470
435,,1,2,7,1,2,,1744108284748
436,,1,2,7,1,2,,1744108978222
437,,1,5,8,1,2,,1744110903579
438,,1,12,6,2,1,,1744111130117
439,,1,2,1,12,6,,1744111623357
440,,1,24,1,2,10,,1744113309941
441,,1,2,1,24,9,,1744113744131
442,,1,2,7,24,10,,1744114064015
443,,1,12,6,11,5,,1744115234054
444,,1,5,6,6,9,,1744115429106
445,,1,2,7,24,4,,1744115491130
446,,1,2,3,24,10,,1744116915752
447,,1,3,8,12,6,,1744116970212
448,,1,3,8,12,6,,1744117068723
449,,1,3,8,12,6,,1744117460874
450,,1,2,3,24,5,,1744117505429
451,,1,16,2,11,5,,1744117751561
452,,1,3,8,12,6,,1744118016757
453,,1,16,4,11,6,,1744118197120
454,,1,3,8,12,6,,1744118411695
455,,1,12,6,3,8,,1744118805110
456,,1,28,4,11,5,,1744118857651
457,,1,12,4,3,8,,1744119098007
458,,1,2,3,16,5,,1744119244233
459,,1,25,1,11,5,,1744119481687
460,,1,16,8,2,8,,1744119720299
461,,1,11,6,3,9,,1744119943184
462,,1,3,9,11,6,,1744120527652
463,,1,2,3,3,8,,1744121247935
464,,1,5,8,2,3,,1744121929827
465,,1,2,2,8,10,,1744134777699
466,,1,2,7,8,10,,1744135181870
467,,1,2,7,8,2,,1744135745381
468,,1,3,4,18,8,,1744135963735
469,,1,3,4,18,2,,1744136369972
470,,1,2,7,8,9,,1744136595175
471,,1,5,7,8,3,,1744137209039
472,,1,8,3,5,7,,1744137664240
473,,1,6,8,18,3,,1744137732267
474,,1,5,7,8,3,,1744137887011
475,,2,3,4,18,2,,1744138021908
476,,2,18,7,3,4,,1744138399262
477,,1,3,2,2,4,,1744139230787
478,,1,5,3,18,10,,1744139509779
479,,1,2,4,3,2,,1744139624250
480,,1,2,4,3,2,,1744140219295
481,,1,6,8,12,8,,1744140336942
482,,1,6,7,24,3,,1744140791463
483,,1,3,4,2,2,,1744141146923
484,,1,24,3,6,9,,1744141342947
485,,1,3,4,2,2,,1744141502759
486,,1,6,1,3,4,,1744141823081
487,,1,3,4,2,2,,1744141856745
488,,1,2,2,3,4,,1744142203219
489,,1,12,6,20,5,,1744142603393
490,,1,3,4,2,2,,1744142696367
491,,1,20,1,12,2,,1744143068232
492,,1,5,1,20,7,,1744143670408
493,,2,3,1,12,2,,1744143730692
494,,1,5,7,20,1,,1744143986592
495,,2,3,6,12,3,,1744144068017
496,,2,12,4,3,5,,1744144506101
497,,1,5,4,20,5,,1744144653779
498,,1,19,1,12,6,,1744144879201
499,,1,19,1,20,5,,1744145364876
500,,1,5,8,12,6,,1744145530399
501,,1,5,1,19,10,,1744145790861
502,,1,19,4,5,3,,1744146171267
503,,1,5,6,19,3,,1744147275383
504,,1,5,3,6,3,,1744147729617
505,,1,19,1,31,7,,1744166046413
506,,1,15,7,2,2,,1744166822267
507,,1,15,8,2,2,,1744167287671
508,,1,19,9,21,10,,1744167386442
509,,1,3,4,2,2,,1744167726592
510,,1,19,1,21,9,,1744167827591
511,,1,3,4,2,7,,1744168003811
512,,1,19,1,18,4,,1744168410459
513,,1,3,4,2,7,,1744168500707
514,,1,11,6,21,3,,1744168649273
515,,1,3,4,2,2,,1744168842303
516,,1,18,4,19,8,,1744169300309
517,,1,2,7,3,8,,1744169338890
518,,1,3,4,2,7,,1744169990913
519,,1,18,4,19,5,,1744170032662
520,,1,2,2,3,4,,1744170421882
521,,1,19,2,18,5,,1744170706602
522,,1,3,4,19,7,,1744171758555
523,,1,11,7,19,9,,1744172370237
524,,1,6,8,2,2,,1744174085301
525,,1,15,8,17,4,,1744174200962
526,,1,6,8,2,7,,1744174623190
527,,1,17,2,18,6,,1744174814056
528,,1,17,6,18,6,,1744175377690
529,,1,2,8,21,8,,1744175430167
530,,1,2,2,21,5,,1744175953655
531,,1,18,1,17,9,,1744175959225
532,,1,2,1,21,4,,1744176549804
533,,1,17,7,18,10,,1744176718332
534,,1,17,4,26,2,,1744177031155
535,,1,26,2,17,4,,1744177436942
536,,1,18,7,20,4,,1744177584491
537,,1,18,6,20,5,,1744178181154
538,,1,18,7,26,2,,1744179517751
539,,1,18,4,26,2,,1744179859616
540,,1,16,2,20,5,,1744179943412
541,,1,16,1,20,1,,1744180430359
542,,1,16,1,20,1,,1744180775695
543,,1,18,7,29,4,,1744180950933
544,,1,16,7,26,9,,1744181073171
545,,1,18,6,29,4,,1744181278287
546,,1,18,7,29,4,,1744181387004
547,,1,16,4,29,4,,1744181721028
